participant_id	genotype	sex
sub-1755a	WT	M
sub-1834a	WT	M
sub-1843a	WT	M
sub-1854a	WT	M
sub-1854b	WT	M
sub-1854c	WT	M
sub-1854d	WT	M
sub-2011d	WT	M
sub-1755c	WT	F
sub-1755d	WT	F
sub-1834d	WT	F
sub-1834e	WT	F
sub-1843f	WT	F
sub-2011g	WT	F
sub-1755b	Dp1Tyb	M
sub-1843b	Dp1Tyb	M
sub-2011a	Dp1Tyb	M
sub-2011b	Dp1Tyb	M
sub-2011c	Dp1Tyb	M
sub-1843c	Dp1Tyb	F
sub-1843d	Dp1Tyb	F
sub-1843e	Dp1Tyb	F
sub-2011e	Dp1Tyb	F
sub-2011f	Dp1Tyb	F
