participant_id	genotype	sex
1755a	WT	M
1834a	WT	M
1843a	WT	M
1854a	WT	M
1854b	WT	M
1854c	WT	M
1854d	WT	M
2011d	WT	M
1755c	WT	F
1755d	WT	F
1834b	WT	F
1834e	WT	F
1843f	WT	F
2011g	WT	F
1755b	Dp1Tyb	M
1843b	Dp1Tyb	M
2011a	Dp1Tyb	M
2011b	Dp1Tyb	M
2011c	Dp1Tyb	M
1843c	Dp1Tyb	F
1843d	Dp1Tyb	F
1843e	Dp1Tyb	F
2011e	Dp1Tyb	F
2011f	Dp1Tyb	F
